Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
1546,1,0.8664,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",poco f juga triple camera bang
1547,3,0.8997,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",udah jt masih blum ada give away buat para suscriber
1548,3,0.8215,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",ini bisa dikoneksikan ke hdmi ga ya
1549,4,0.7168,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",desain kameranya kayak logo ubuntu
1550,1,0.8664,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",sudah ku duga mangekyu sharinggan
1551,2,0.8982,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",desain belakang mirip tecno spark pro
1552,4,0.6038,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",poco f gw kok suka mati sendiri padahal batre masih dan kalo lagi ngegame sinyal leg suka tiba panas pernah mati sekali
1553,4,0.8969,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",kameranya kayak apk shareit
1554,2,0.819,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",yang pro kemarin jadi berapa
1555,3,0.9466,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",spek gahar doang banyak iklan fitur terbaik pocopoco lawak aja
1556,4,0.5061,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",f ultra sd elite
1557,4,0.945,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",rencana upgrade dari poco f ke f ultra nggak jadi skip aja kalo jtan jt ku gass
1558,0,0.8637,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",jd ragu beli f ultra
1559,0,0.9707,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",menurut gue alasan pembuatan di tiongkok karena poco belum pede main di harga segitu takut barangnya kurang laku soalnya kalo di buat di indo biayanya bisa lebih mahal lagi untuk produksi
1560,2,0.8697,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",ambil ini apa t pro bang untuk kategori jt
1561,4,0.8679,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",sekilas iyadan mirip shareit
1562,3,0.8217,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",kalau masih ada iklan itu hp atau baliho
1563,0,0.9492,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",kalau misalnya iqoo ada di taiwansaya akan lebih milih itutapi sayangnya tidak adaapakah saya terpaksa harus beli f ultra
1564,2,0.7034,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",semoga punya hp baru
1565,4,0.8165,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",kedut is real
1566,5,0.9726,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",coba di tes main ragnarok origin sejam aja trus ukur suhu hpnya dan fps dropnya parah apa ga itu game paling parah soal game optimization soalnya
1567,0,0.9127,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",rekomendasi hp mid range yg kameranya paling oke apa bang
1568,4,0.8968,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",ga ada slot microsd dan ada iklan skip om
1569,2,0.8982,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",alhamdulillah akhirnya gw nntn ini pakai poco f
1570,3,0.1933,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",sama bg
1571,2,0.8982,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",sama gue jga bli tahun lalu promo
1572,5,0.5501,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",alhamdulillah setelah meliat reviewnya dr bg david akhirnya aku co kopi kapal apinya di toko oren makasih bg david
1573,5,0.8129,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",samsung a g bang david
1574,5,0.8808,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",mas riview hp kalo game sekarangmah jan genshin mending wuwa soalnya tuh game emang cocok buat penguji hp² dewa
1575,4,0.945,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",utk hrg sgini aku vote seri xiaomi yg garansiny thn
1576,4,0.8164,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",bang riviuw vivo y
1577,0,0.7724,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",poco f pro and f ultra are the f series killer
1578,3,0.5229,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",dr dulu xiaomi raja mid range kalo flashgip nya yg bagus sekalian wkwkw samsungip
1579,2,0.7311,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",desain belakang agak mirip sama tecno spark pro plus juga
1580,3,0.7814,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",akhirnya minggu lalu sudah ga jadi team nonton doang beli kagaberkat review bang davidsaya bulatkan tekad ambil s makasi bang david dan team gadgetin
1581,3,0.8218,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",agak kocak jt masih ada iklan
1582,4,0.868,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",video kamera depan jitter
1583,0,0.7516,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",buat tahun ini aja tahun depan gk bakal soalnya gk bakal laku keras di indo uang jt bakal banyak yg milih iphone dibanding poco kecuali samsung atau oppo vivo mungkin bisa bersaing
1584,1,0.8144,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",yup bener
1585,1,0.6371,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",harga segitu gas lah beli kopinya aja
1586,5,0.8129,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",china terbaik
1587,1,0.636,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",cape gw sama ram management nya poco gampang banget relogin buat game selain ml
1588,0,0.8107,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",review itel p dong bang
1589,4,0.4453,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",blunder poco harga segitu siapa yg mau lirik saingannya udah ada iphone dan samsung mana harga segitu masih ada iklan diharga lebih murah ada xiaomi t yg dapet branding leica dikameranya udah paling bener poco seri f main diharga jt aja seri x diharga jt dan seri m diharga jt iklannya emang bisa diilangin tapi orang dengan duit segitu juga males ngatur buat ngilangin iklan
1590,2,0.6497,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",review poco m pro g dong bwang
1591,0,0.8936,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",kenapa label belakangnya dibuat di tiongkok ya tumben
1592,2,0.9762,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",poco f pro aja kek taik ni kan pulak faku saran kan beli fon lain ajakerna aku sekarang pakai poco f pro mending rog promeyesal gua beli poco kek taik
1593,4,0.7116,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",terus aduin skrg sama xiaomi t pro dan samsung s fe sebagai sesama kelas flagship killer atau flagship turun setengah
1594,2,0.7033,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",masih di renot s
1595,4,0.8969,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",berasa lbh premium poco f
1596,2,0.6137,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",mending rakit pc dari pada beli poco ini
1597,2,0.3092,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",kpn huawei lipat nya bang
1598,2,0.8982,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",kemahalan budget buat hp jt ya ga poco yg dibeli
1599,3,0.8218,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",iklannya foco f juga kok bisa sama
1600,2,0.8696,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",njir waifuny lebih crispy wkwkwk
1601,3,0.8218,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",iklannya foco f juga kok bisa sama
1602,2,0.5158,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",jadi kesimpulannya lebih mending f ultra atau iqoo
1603,3,0.1933,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",tahun bang
1604,3,0.8218,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",juta masih usb c
1605,1,0.8773,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",ini masalah selera sih but model nya gk bgt wkwk mending t pro lebih murah jg sekarang hasil kamera nya pun jg kek nya lebih bagus t pro gk sih ini menang di chipset doang kek nya but dimensity nya t pro juga sama bagus nya dah lah sip gue ambil t pro aja lebih seimbang di segala aspek di harga yg lebih murah klo jutaan sih mending iqoo
1606,2,0.8358,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",hargaa mehonggg enkk beli mass hp mahal pake brp lama mau jual rugio nyaa pusinggg
1607,4,0.868,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",salfok sama google pixel nya
1608,4,0.868,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",masih setia dengan poco x nfc dari
1609,4,0.9554,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",mau harga triliun sekalipun selagi msh hp china ttp aj ada iklanyamending samsung harga rb tp gk ada iklan
1610,4,0.9154,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",poco kali ini terlalu overprice untuk harga jt ui masih ada iklan
1611,1,0.7395,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",ada orang yg bilang jangan sok tau klo belum beli xiaomipoco seri paling tinggi sehabis gua bilang klo xiaomi ama poco itu uinya sarang iklan coba kalo bukan bang david yg bilang gabakal didenger keknya
1612,5,0.4721,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",gila ngeri videonya mirip mirip ip
1613,2,0.3937,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",yang nonton kebanyakan tim jiwa premium isi dompet puluhan ama lima ribuan
1614,1,0.4718,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",keknya gw lbh ke iqoo dah drpda ini wkwk
1615,5,0.7749,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",setiap review hp spek dewa pasti ada kapal api
1616,5,0.7185,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",khas keluarga mi iklan tetep ada n ui nya terbaik
1617,4,0.9154,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",alasannya harga ditekan ternyata masih ada iklannya kayanya
1618,4,0.6215,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",harus nya poco f ultra ini di kasih tombol l l behh mantap apalgi series ultra jarang keluar jadi ya harus beda emang harga jt tuh mahal buat hape poco tapi karna dia jual prosesor snap elite chipset paling enak dan iklan wajib di hilangin di poco f ultra ini
1619,5,0.6932,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",iyakayak f gt
1620,1,0.9444,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",pantes pada kena genjutsu poco taunya beliau empunya saringan
1621,4,0.7934,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",baru ngeh kalo bang david review hp flagsip kan biasanya pake kaos tulisan flagsip yahh apa ini poco ini flagsip jadi jadian
1622,2,0.9165,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",nonton pake poco f custom rom
1623,2,0.7031,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",mirip gopix
1624,5,0.7959,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",mau hp apapun yg di review bang david ttep aja yang bisa kebeli cuma kapal api
1625,5,0.9498,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",bamg misal kalau review game di hp pake game wuwa bang soalnya game berat itu dari pada genshin
1626,0,0.954,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",klo masih di cikarang pijit bisa sampe kali seminggu skrang di jakarta paling cuma sebulan kali
1627,1,0.5226,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",nyimak pake poco f sepertinya wajib d upgrade ke ultra sih performa kamera lebih baik dari iqoo
1628,0,0.9433,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",keknya target pasar poco f ultra ni menyasar ke yg mau beli iqoo
1629,1,0.7401,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",gw biasanya jadi kaum mending ambil poco f tapi sekarang kayaknya bakalan jadi kaum mending rakit pc mari stay di poco f aja mah
1630,2,0.5485,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",safok sama ring bulatan warna emas nya yg bikin manis dan terasa mewah
1631,0,0.9127,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",jadi tkdn nya haya perangkat lunak mungkin sama packaging boleh
1632,3,0.7076,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",serobot
1633,5,0.8653,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",review vivo v lite bang
1634,1,0.5767,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",iklan seharga jt tapi kalau ngeliat varian ok sih
1635,0,0.9127,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",gasuka model kamera gede menonjol
1636,2,0.8697,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",req poco m pro g nya
1637,4,0.6994,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",gw yg masih stay di f
1638,3,0.7325,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",sebagai user xiaomi lebih dari tahun yang memang sangat disayangkan adalah adanya iklan dulu masih mending xiaomi masih yang paling murah tapi sekarang udah banyak saingan merk lain yang spek tapi yang penting gak ada iklannya memang iklan bisa dimatikan tapi gak bisa permanen ya geys jadi harus secara rutin matiin tiap beberapa bulan sekali agak annoying bagi gua iya
1639,1,0.9621,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",bang bahas hp yang support esim gak semua orang tau sekarang lagi rame pemerintah nyuruh upgrade dari sim crad ke esim
1640,4,0.9377,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",jelek kamera video nya ke bangunan ok namun ke orang jadi blur ga jernih
1641,2,0.956,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",punya xiomay t pro syukuri apa yang ada aja dah tapi boros batrei anjir ada saran kah guys
1642,0,0.9433,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",liat fitur wireless charging jadi berasa b gitu gara kingfinix
1643,3,0.8217,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",designnya kayak hp jt an
1644,0,0.7582,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",alesan gw masih pake poco cuma gara gara kustomisasi temanya
1645,5,0.9268,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",bang review sharp aquos sense dong likenya guys
1646,3,0.5225,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",duh buat yang komen iklan iklan iklann ayolahh itu semua bisa dinonaktifinn dan nonaktifnya juga ga susahh hp nya doang yang smart yang make dumb
1647,3,0.8031,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",bahas iklan pedahal muncul kalo cuman buka aplikasi bawaan lagian seberapa sering sih kalian buka aplikasi bawaan dgn chipset yg sama dari brand lain harga lebih murah
1648,1,0.5187,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",baru mau bilang klo mirip mangekyu sharingannya madara
1649,3,0.5631,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",alhamdulillahdi malaysia harganya mampu beli
1650,5,0.9498,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",sekian kali david nge reviewakhirnya baru bisa nyoba kopi kapal api
1651,3,0.8998,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",fitur unik di hp jutaan ada iklannya
1652,1,0.5654,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",baru minang x pro malah nongol f ultra
1653,0,0.8637,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",sukaaa bangettt sama 𝑨lexs
1654,1,0.9144,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",sehat selalu semuanya salam dari 𝑨lexs gampang jepe
1655,0,0.6858,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",streamer favorit dan selalu menunggu update terbarunya semangat terus bang salam jepe 𝑨lexs
1656,4,0.868,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",kurang tombol r l kayak poco f gt
1657,0,0.8107,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",iqoo paling favorit
1658,2,0.8982,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",next review poco m pro g bang
1659,4,0.8968,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",tkdn sudah fleksibel jadi rakit di negara asal gak masalah lagi
1660,2,0.6868,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",di facebook banyak yang hujat njir katanya desain kayak hp entri level harga segitu mending ini itudll beuh
1661,4,0.9593,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",knapa hp xiaomi dari harga ratusan ribu sampe belasan juga tetap aja ada iklan mentang semua china kali ya
1662,4,0.8326,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",apapun hp yang keluar cmn samsoeng slalu di hati inshallahh kebeli hp idaman flasghip s
1663,3,0.708,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",iklan
1664,3,0.708,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",el iklan
1665,2,0.601,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",banyak hp baru yg keren murah tapi beli pun kagak nonton doang
1666,4,0.9507,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",poco f setup cameranya utama ultrawide sama telemacro itu hitunganya tripel kamera ga
1667,5,0.6179,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",whattt juta saya kaum mendang mending lebih mending beli kompor ser buat usaha gorengan dan ada keuntungan daripada hp ini yg ga jelas brand apa lebih pantas dijual ribuancalon penunggu gudang nih hp
1668,3,0.1933,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",wkwk
1669,5,0.8653,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",review vivo vlite bang
1670,2,0.3589,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",betul bang sejak hape poco terbaru muncul alhamdulillah saya sudah beli kopi kapal api nya
1671,3,0.5911,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",dari segi harga sama poco f ultra dan rog fe so gasin buat perbandingan tambah lagi yg harga nya naik dikit iqoo poco f ultra vs asus rog fe vs iqoo
1672,1,0.696,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",up guys
1673,2,0.8697,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",nonton doang ga beli v
1674,4,0.9782,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",poco f ultra menurut saya kurang diminati orang deh harganya yang sampe hampir jutaan kayak bukan branding hp poco lagi poco dikenal sebagai hp performa sangar tapi budget kecil kalau orang udah nyari hp jutaan pasti milih merek lain
1675,5,0.8128,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",gua baru ada rb masih kurang brpa ya
1676,3,0.708,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",hp kok ada iklannya kek tv aja
1677,3,0.8217,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",jt buat iklan awowkwkwk
1678,4,0.6767,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",kamera kya logo ubuntu v
1679,2,0.5063,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",dipantatin iqoo wkwk
1680,2,0.4291,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",halah matot
1681,0,0.9433,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",bang david info dong tekno pova series kpn rilisdi indo
1682,3,0.7076,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",diperbudak hp
1683,3,0.7779,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",harusnya kalau belakang glosy ya glosy semuaatau mate semuadan gk ada iklan
1684,2,0.9292,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",pertanyaan abadi netizen apa kabar mati total poco
1685,0,0.954,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",bg davidpoco f saya baru bulan makai kok kaya udh panas banget terus main game ringan kaya minecraft udh agak ngefrez
1686,5,0.9268,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",kopi kapal api bayar brp bg buat di iklanin
1687,1,0.8144,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",mending iqoo
1688,1,0.5764,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",mejijikan hape mahal mahal masih ada iklan
1689,5,0.8653,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",review vivo v lite dong nanti
1690,2,0.8697,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",poco x pro hadir
1691,4,0.6798,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",bentuk kameranya mirip sharingan wkwkwkwwk
1692,2,0.9681,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",terlanjur beli iphone pro max gan beli fullset dari kawan dapat juta varian gb warna gold mulus
1693,4,0.4271,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",waduh flagship kok banyak minusnya
1694,2,0.5945,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",serius nanya minum kopi enaknya diaduk atau enggak ya
1695,4,0.8969,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",jt banyak pilihan gw yang biasa tertarik sama poco aja jadi males
1696,5,0.9365,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",gua beranganangan king finix bakalan pakai ltpo untuk hp murah mereka atau tidak ya
1697,3,0.8717,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",masih setia ama poco xp
1698,2,0.7966,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",w seperti renot pro ku under ke cuman menit kenceng parah
1699,4,0.5156,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",buat yang tahu kenapa gaada poco f reguler ya
1700,2,0.8696,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",seharusnya dihargain juta wak
1701,0,0.9358,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",tetap masih worth iqoo sih syg bgt poco baru ini gk melibas semua sisi
1702,0,0.9433,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",dibuat di tiongkok gara peraturan baru pemerintah kita cuma kebagian translate bungkus lagi kayanya
1703,4,0.6995,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",peraturan apa
1704,4,0.868,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",desainnya tolong ga kek hp jtan
1705,1,0.937,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",co di apk mistore tgl udah jam belum juga pengiriman masih diproses doang
1706,0,0.9817,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",hp cina kalo dh diatas jt gak ngotakkalo lagi butuh duit di jual lagi ribu aja gk ada yg mauuuuusprti halnya seorang pengusaha ktika dia bangkrut dia punya mobil jepang innova dan mobil cina dan mobil jerman pazti yg laku duluan mobil jepaaang inovaaahp jugahahhaahaaa
1707,5,0.7045,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",lain kali test maen game zzz dunk
1708,0,0.8637,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",spill merk topi ko
1709,2,0.5521,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",lebih mirip tecno spark pro plus gk sih bagian belakangnya
1710,1,0.8143,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",udah orderbesok paling sampedapet jt
1711,3,0.5894,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",apalotega seharga jt masih ada iklan
1712,2,0.7633,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",tampilan belakang kayak tecno spark pro plus
1713,3,0.1933,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",
1714,1,0.425,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",infinix apa kabar
1715,2,0.9386,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",waduh fultra juga masih p di rekaman video selfiejt boss poco poco
1716,0,0.4752,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",mantep kalo chipset buatan amerika ini jadi pengen nyobain
1717,1,0.651,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",klo beli poco wajib ngerti ubl custom recovery install custom rom magisk kernelsu dll dah wkwkwk bisa anti iklan plus performa jga bisa nambah soalnya hyperos masih banyak minus apalagi pemakaian ram nya hehe wajib buat ane aja mungkin
1718,0,0.6621,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",itu nanti lah ultra udah maksimal banget nanti aja pas update os sudah habis masih lama bgt wkwkwk
1719,4,0.6132,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",poco jg dewa hp oprek tenang aja
1720,5,0.8948,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",beli mahal malah nambah kerjaan
1721,4,0.7683,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",dri smua riview hp poco cuma yg ini bikin bang gadgetin sprti agak kecewa sma harganya bysa lgsg no debat klu bahas hp poco
1722,0,0.9358,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",bisa diliat ya adik adik box nya kek hp jutaan jadi kalian tau kan harus gimana
1723,3,0.8717,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",iklan iklan iklan
1724,0,0.8936,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",bang hp yang habis review jangan dikumpulin bang dijual lg dong
1725,3,0.1933,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",
1726,3,0.9395,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",di saat brand di harga jt rekaman selfi udh bisa k tapi di poco fpro maren masih p
